Media Time (seconds),Attention (%),Valence (%),Arousal (%)
0.0,100.0,23.0,44.0
0.0,100.0,25.5,45.0
0.0,93.0,28.000000000000004,38.0
0.0,93.0,28.500000000000004,38.0
0.0,92.0,28.500000000000004,38.0
0.263651,92.0,28.500000000000004,38.0
0.789649,92.0,28.500000000000004,38.0
1.482929,92.0,28.500000000000004,38.0
2.037383,92.0,28.500000000000004,38.0
2.51994,97.0,26.5,40.5
3.690667,54.0,29.500000000000004,30.5
3.690667,81.0,28.500000000000004,38.5
3.690667,38.0,32.0,26.5
4.020938,37.0,30.5,27.500000000000004
4.459211,54.0,34.0,31.5
4.889254,40.0,35.0,27.500000000000004
5.309223,57.99999999999999,32.5,32.5
5.762843,79.0,35.0,53.0
6.250659,91.0,29.500000000000004,67.5
6.75044,97.0,26.5,67.0
7.152971,99.0,29.000000000000004,61.5
7.16127,99.0,30.0,56.00000000000001
7.16127,100.0,27.500000000000004,63.0
7.16127,100.0,25.5,68.0
7.16127,100.0,28.500000000000004,61.0
7.16127,84.0,32.5,37.0
7.16127,93.0,30.0,51.5
7.16127,96.0,27.0,64.5
7.16127,98.0,21.999999999999996,74.0
7.774686,84.0,30.0,40.0
8.203396,92.0,26.0,65.0
8.591323,97.0,24.0,70.5
8.935579,98.0,28.000000000000004,68.5
9.303158,99.0,32.0,68.0
9.761688,100.0,28.500000000000004,66.5
10.205206,100.0,28.000000000000004,71.5
10.400309,100.0,24.5,71.0
10.400309,100.0,25.0,72.0
10.400309,100.0,23.0,74.5
10.400309,100.0,28.500000000000004,73.0
10.400309,100.0,31.0,71.5
10.400309,100.0,25.0,71.5
11.102138,100.0,24.0,71.5
11.570031,100.0,26.0,73.0
11.968937,100.0,29.000000000000004,70.5
12.358383,100.0,27.500000000000004,70.5
12.724622,100.0,29.000000000000004,68.5
13.104137,100.0,30.5,70.0
13.540476,100.0,32.99999999999999,71.0
13.972481,100.0,28.500000000000004,70.5
14.058489,100.0,28.000000000000004,68.5
14.058489,100.0,32.5,71.5
14.058489,100.0,31.5,72.0
14.058489,100.0,29.500000000000004,69.5
14.058489,100.0,29.000000000000004,67.5
14.058489,83.0,26.5,37.5
14.058489,93.0,31.0,63.0
14.058489,97.0,26.0,74.5
14.058489,99.0,24.0,72.5
14.058489,99.0,23.5,76.5
14.662654,100.0,22.499999999999996,76.5
14.807559,100.0,23.5,72.0
15.232497,100.0,24.5,69.5
15.837285,100.0,24.0,71.0
16.33704,100.0,21.999999999999996,74.5
16.838999,100.0,23.5,72.0
17.29652,100.0,22.499999999999996,74.0
17.753217,100.0,21.999999999999996,75.5
17.758823,100.0,22.499999999999996,73.5
17.758823,100.0,21.500000000000004,75.0
17.758823,100.0,21.000000000000004,77.0
17.758823,100.0,21.999999999999996,75.0
17.758823,100.0,23.5,72.5
17.758823,100.0,23.0,74.5
17.758823,70.0,29.500000000000004,43.0
17.758823,88.0,23.0,72.0
17.758823,94.0,21.999999999999996,75.5
17.758823,97.0,21.000000000000004,78.49999999999999
18.368,98.0,21.000000000000004,78.0
18.368,99.0,21.000000000000004,78.0
18.368,100.0,21.000000000000004,78.0
18.723692,100.0,22.499999999999996,74.0
19.174729,100.0,23.0,72.5
19.637519,100.0,23.0,73.0
20.146525,100.0,23.5,75.0
20.247951,100.0,21.000000000000004,77.0
20.247951,100.0,21.500000000000004,76.5
20.247951,100.0,23.0,73.0
20.247951,100.0,23.0,72.5
20.247951,100.0,21.999999999999996,74.5
20.247951,100.0,33.5,74.0
21.015285,100.0,30.0,74.5
21.424796,100.0,26.5,75.0
21.898623,100.0,26.5,70.0
22.315386,100.0,29.000000000000004,69.0
22.70189,100.0,27.500000000000004,68.5
23.106609,100.0,24.5,72.0
23.540853,100.0,25.5,72.5
23.639184,100.0,25.5,72.0
23.639184,100.0,25.5,72.5
23.639184,100.0,23.5,76.0
23.639184,100.0,24.0,78.0
23.639184,100.0,24.0,76.0
23.639184,100.0,30.0,72.0
23.639184,81.0,32.99999999999999,62.5
23.639184,92.0,35.5,65.0
23.639184,97.0,28.500000000000004,71.0
24.529016,99.0,21.500000000000004,75.5
25.009008,100.0,21.000000000000004,76.0
25.453969,100.0,22.499999999999996,76.5
25.855975,100.0,25.5,75.5
26.220318,100.0,27.500000000000004,73.5
26.570477,100.0,27.0,76.0
26.965412,100.0,30.0,74.0
27.177465,100.0,26.5,76.0
27.177465,100.0,27.500000000000004,74.5
27.177465,100.0,27.0,76.0
27.177465,100.0,27.0,76.5
27.177465,100.0,28.000000000000004,67.5
27.177465,100.0,31.5,72.0
27.177465,100.0,32.5,71.5
27.177465,100.0,27.500000000000004,73.0
27.177465,100.0,27.0,75.5
27.807042,100.0,25.0,77.5
28.225564,100.0,36.0,73.0
28.668947,100.0,29.500000000000004,75.5
29.072078,100.0,26.5,76.0
29.413632,100.0,27.0,75.0
29.792379,100.0,25.0,77.5
30.158654,100.0,24.5,77.5
30.542281,100.0,22.499999999999996,77.0
30.951795,100.0,21.999999999999996,76.0
30.95841,100.0,26.5,74.0
30.95841,100.0,21.999999999999996,76.5
30.95841,100.0,25.0,73.5
31.395534,100.0,32.0,71.5
31.921515,100.0,26.5,70.5
32.476799,100.0,32.5,72.0
32.881785,100.0,38.5,73.5
33.245522,100.0,31.5,73.0
33.6,100.0,29.000000000000004,71.5
33.6,78.0,41.0,53.5
33.6,89.0,38.5,60.5
33.6,94.0,62.5,44.0
33.6,97.0,36.0,65.0
